Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,39320000000.0,39.32B,32.53,138.7,0.09,2207996
AA,Alcoa Corp,Basic Materials,Aluminum,USA,9020000000.0,9.02B,8.93,34.83,2.9,8142656
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.0,0.06,9384
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.79,0.09,1202
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,38.05,-0.37,2585437
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,295870000.0,295.87M,-,10.15,-0.28,250015
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,44990000.0,44.99M,-,1.41,1.44,48269
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,331380000.0,331.38M,-,10.49,0.19,70244
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,1330000000.0,1.33B,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,86.39,-0.66,6535
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7540000000.0,7.54B,14.70,11.43,1.42,77568839
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,10.8,2.29,55372
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,462610000.0,462.61M,35.78,10.52,0.0,37764
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,57730000.0,57.73M,28.53,2.83,-0.35,20499
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1660000000.0,1.66B,19.29,46.22,-0.04,177757
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1750000000.0,1.75B,-,27.98,-1.55,3666915
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,8020000000.0,8.02B,67.05,98.35,2.53,735690
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3730000000.0,3.73B,-,62.14,0.39,1077607
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,30.59,1.36,174674
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,13.86,-0.65,1275219
