No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,market_cap_numeric
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,39.19B,32.42,138.23,0.0118,1297709,39190000000.0
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,9.39B,9.3,36.25,0.0351,6291700,9390000000.0
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,,24.95,-0.003,2463,
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,,26.59,0.0141,948,
5,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,,40.57,0.0242,3074972,
6,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,297.33M,,10.2,0.002,6445,297330000.0
7,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,37.33M,,1.17,-0.0001,57020,37330000.0
8,AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330.11M,,10.45,-0.001,283,330110000.0
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,,84.64,0.0374,2916,
10,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.75B,15.09,11.74,0.0191,43682928,7750000000.0
11,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,,11.33,0.0387,39796,
12,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,463.05M,35.82,10.53,0.0,3044,463050000.0
13,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,57.72M,28.53,2.83,-0.0174,9526,57720000.0
14,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.65B,19.23,46.09,0.042300000000000004,245550,1650000000.0
15,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1.81B,,29.1,0.0718,4510208,1810000000.0
16,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,8.31B,69.51,101.96,0.024700000000000003,456061,8310000000.000001
17,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.24B,,54.05,0.0924,2569857,3240000000.0
18,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,,28.24,0.0191,136914,
19,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,,14.4,-0.0086,1991856,
20,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3.38B,,36.45,0.0432,7136,3380000000.0
21,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3674.18B,37.64,247.58,0.009399999999999999,35483806,3674180000000.0
22,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,-,,27.9,0.0026,5237,
23,AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,,30.47,0.0187,1883164,
24,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,,39.23,0.0116,21054,
25,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,,26.34,0.018000000000000002,125385,
26,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,,23.32,0.0063,1805,
27,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,317.42M,,14.63,-0.1002,144457,317420000.0
28,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.17B,15.69,19.1,0.0021,271200,1170000000.0
