Ticker,Company,Sector,Industry,Country,Market Cap,P/E,EPS next 5Y,Perf Week,Perf Month,52w High,52w Low,Rel Vol,Volume,Price,Change
MTSI,MACOM Technology Solutions Holdings Inc,Technology,Semiconductors,USA,9.66B,,22.93%,-1.02%,7.21%,-14.93%,54.44%,1.81,"1,303,773",129.73,-1.62%
MTSR,Metsera Inc,Healthcare,Biotechnology,USA,3.77B,,32.96%,-3.62%,13.72%,-24.26%,191.87%,1.61,"2,038,505",35.90,9.32%
OLED,Universal Display Corp,Technology,Electronic Components,USA,6.66B,27.36,16.01%,1.45%,-0.38%,-35.06%,35.21%,1.61,"859,460",140.21,2.76%
OUST,Ouster Inc,Technology,Electronic Components,USA,2.01B,,24.09%,12.89%,16.02%,-4.30%,487.47%,2.06,"6,398,695",34.69,13.33%
PCVX,Vaxcyte Inc,Healthcare,Biotechnology,USA,4.23B,,-16.47%,-1.42%,2.71%,-73.08%,17.82%,1.51,"2,244,708",32.59,5.52%
PTGX,Protagonist Therapeutics Inc,Healthcare,Biotechnology,USA,3.87B,87.20,,4.12%,10.47%,0.40%,86.55%,1.66,"1,357,968",62.14,4.93%
QUBT,Quantum Computing Inc,Technology,Computer Hardware,USA,2.93B,,,15.48%,23.49%,-32.41%,2771.23%,2.19,"42,667,596",18.35,3.61%
RDNT,Radnet Inc,Healthcare,Diagnostics & Research,USA,5.89B,,,3.87%,12.73%,-18.23%,70.18%,1.55,"1,203,302",76.58,1.84%
RGTI,Rigetti Computing Inc,Technology,Computer Hardware,USA,8.02B,,25.25%,48.17%,63.13%,11.75%,3383.10%,2.65,"112,984,848",24.73,12.46%
SFD,"Smithfield Foods, Inc",Consumer Defensive,Packaged Foods,USA,9.42B,,9.15%,-2.28%,-4.73%,-8.08%,30.01%,1.68,"1,880,101",23.96,-1.52%
SLNO,Soleno Therapeutics Inc,Healthcare,Biotechnology,USA,3.01B,,,-0.26%,-15.33%,-37.37%,36.31%,3.02,"4,980,326",56.57,10.97%
SOUN,SoundHound AI Inc,Technology,Software - Application,USA,6.37B,,37.82%,7.20%,17.52%,-37.43%,251.24%,1.54,"84,126,621",15.63,3.37%
STEP,StepStone Group Inc,Financial,Asset Management,USA,7.72B,,13.72%,3.03%,12.07%,-6.43%,64.36%,2.17,"1,229,599",65.39,8.75%
STNE,StoneCo Ltd,Technology,Software - Infrastructure,Cayman Islands,5.21B,,18.79%,5.85%,28.47%,-1.06%,148.37%,1.67,"8,269,989",19.18,0.84%
UPWK,Upwork Inc,Communication Services,Internet Content & Information,USA,2.60B,11.26,11.29%,19.73%,41.41%,7.60%,97.48%,2.08,"6,308,296",19.60,8.05%
WAY,Waystar Holding Corp,Healthcare,Health Information Services,USA,6.72B,80.98,17.76%,0.60%,8.28%,-19.81%,46.92%,2.07,"4,106,453",38.58,-0.03%
WSBC,"Wesbanco, Inc",Financial,Banks - Regional,USA,3.10B,19.43,,1.38%,3.86%,-13.49%,22.33%,1.54,"821,225",32.32,3.76%
