Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,39140000000.0,39.14B,32.37,138.05,-0.38,811374
AA,Alcoa Corp,Basic Materials,Aluminum,USA,8860000000.0,8.86B,8.78,34.23,1.13,2534887
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.0,0.04,7838
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.72,-0.18,1104
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,37.87,-0.84,1022586
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,296750000.0,296.75M,-,10.18,0.01,11
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,45310000.0,45.31M,-,1.42,2.16,32215
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,330570000.0,330.57M,-,10.46,-0.06,1025
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,1330000000.0,1.33B,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,85.99,-1.12,700
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7470000000.0,7.47B,14.56,11.32,0.49,24478559
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,10.65,0.87,16450
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,462610000.0,462.61M,35.78,10.52,0.0,12046
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,59150000.0,59.15M,29.23,2.9,2.11,1484
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1660000000.0,1.66B,19.40,46.48,0.52,30164
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1760000000.0,1.76B,-,28.23,-0.67,1989379
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7910000000.0,7.91B,66.17,97.05,1.18,181259
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3720000000.0,3.72B,-,61.99,0.15,289094
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,30.38,0.66,68993
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,13.92,-0.22,424840
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3720000000.0,3.72B,-,40.13,1.39,1831
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3801440000000.0,3801.44B,38.94,256.15,0.28,14242923
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,-,-,27.96,0.05,1101
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,-,-,32.72,0.51,1077343
AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,-,-,41.36,-0.07,8516
AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,-,-,28.35,0.5,50289
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,-,-,24.03,0.2,372
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,319590000.0,319.59M,-,14.73,0.14,32064
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1230000000.0,1.23B,16.53,20.13,-0.98,38406
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,2029999999.9999998,2.03B,-,17.55,-0.23,45392
AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,,-,-,24.5,0.51,122
AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,54.22,0.0,47
AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,28.82,-0.06,73
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,-,-,92.64,0.48,203071
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4130000000.0,4.13B,11.12,37.32,0.16,58931
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,612070000.0,612.07M,-,5.18,-0.1,5622743
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,415140000000.0,415.14B,111.84,235.0,-3.84,2500053
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,4980000000.0,4.98B,12.81,72.68,-0.48,45452
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1780000000.0,1.78B,-,5.95,-0.17,5268277
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,-,-,30.14,-0.26,1301
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,269470000.0,269.47M,8.33,5.26,-0.47,392647
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,-,-,35.74,-0.4,299
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,34100000000.0,34.10B,13.41,2.19,-1.05,19861365
ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,72.24,0.11,3526
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4880000000.0,4.88B,9.07,248.41,-1.09,34911
ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,-,-,25.03,-0.04,27
ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,-,-,31.81,-0.12,101
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,548660000.0,548.66M,-,5.67,-0.53,71924
ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,28.85,0.24,6
ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,31.21,0.31,58
ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,23.17,0.0,1
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,42720000.0,42.72M,-,0.86,-3.89,3277
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2830000000.0,2.83B,25.12,46.24,-1.19,74245
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,74880000000.0,74.88B,29.07,120.5,-1.49,1259409
ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,9.69,-1.4,7807
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,107210000.0,107.21M,-,1.77,1.14,133820
ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,40.85,0.71,2
ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,18210000.0,18.21M,-,0.23,1.16,512664
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2370000000.0,2.37B,13.93,12.3,-0.08,493159
ABSI,Absci Corp,Healthcare,Biotechnology,USA,527070000.00000006,527.07M,-,3.53,12.62,6171603
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,231200000000.0,231.20B,16.61,132.84,-0.47,1654944
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,1270000000.0,1.27B,-,7.18,-0.28,1447532
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,24290000.0,24.29M,-,10.25,-0.19,8761
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,853060000.0,853.06M,-,4.45,-3.05,139286
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,69680000.0,69.68M,-,2.96,-1.0,16555
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,120040000.0,120.04M,-,2.35,9.58,4311848
ABVX,Abivax ADR,Healthcare,Biotechnology,France,6230000000.0,6.23B,-,82.44,0.05,157281
ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,19.64,0.01,71
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4510000000.0,4.51B,49.03,91.98,-0.74,25078
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3570000000.0,3.57B,15.91,21.17,-0.31,205891
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,315840000.0,315.84M,-,5.59,-2.36,797981
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,362330000.0,362.33M,8.33,4.02,-1.23,138224
ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,41450000.0,41.45M,-,10.72,-0.79,161
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,644430000.0,644.43M,-,3.97,0.38,452141
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,922510000.0,922.51M,26.82,10.94,0.04,41912
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,-,-,33.44,-0.01,5595
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,67260000.0,67.26M,-,0.81,-1.74,86809
ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,70760000.0,70.76M,9.96,28.29,0.79,3029
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33340000000.000004,33.34B,9.23,89.32,-1.1,233943
ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,,-,-,65.93,0.41,1
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2410000000.0,2.41B,17.21,26.12,6.38,869755
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6580000000.0,6.58B,-,10.2,4.03,21937377
