Ticker,Company,Sector,Industry,Country,market_cap,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,34560000000.0,34.56B,28.58,121.89,-2.0,1411781
AA,Alcoa Corp,Basic Materials,Aluminum,USA,8140000000.000001,8.14B,8.07,31.45,0.7,5317870
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,-,-,25.08,-0.06,6904
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,-,-,26.47,-0.32,552
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,-,-,36.99,0.43,1699430
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,294710000.0,294.71M,-,10.11,0.9,110
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,59030000.0,59.03M,-,1.85,1.09,92255
AACI,Armada Acquisition Corp. II,Financial,Shell Companies,USA,326410000.0,326.41M,-,10.33,0.03,67520
AACT,Kodiak AI Inc,Financial,Shell Companies,USA,587050000.0,587.05M,36.32,9.49,0.0,0
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,-,-,85.66,0.0,2474
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7520000000.0,7.52B,14.64,11.39,-4.61,100888575
AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,10.77,-9.41,28919
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,462610000.0,462.61M,35.78,10.52,0.0,1468
AAME,Atlantic American Corp,Financial,Insurance - Life,USA,58950000.0,58.95M,29.13,2.89,-12.42,181090
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1720000000.0,1.72B,20.05,48.05,0.88,235992
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1640000000.0,1.64B,-,26.34,-1.31,4315646
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7190000000.0,7.19B,60.08,88.13,-3.14,1062412
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3590000000.0,3.59B,-,59.83,-2.0,1074484
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,-,-,30.57,3.7,227408
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,-,-,13.86,-1.84,2183789
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,3500000000.0,3.50B,-,37.83,1.12,10461
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3812050000000.0,3812.05B,39.05,256.87,1.81,52937030
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,-,-,27.86,-0.0,4321
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,-,-,33.0,3.77,2935887
AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,-,-,41.9,2.13,34745
AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,-,-,28.6,3.81,243568
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,-,-,24.07,0.91,1187
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,274900000.0,274.90M,-,12.67,4.11,125107
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1230000000.0,1.23B,16.53,20.12,-1.28,296724
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,1950000000.0,1.95B,-,16.89,-0.12,105495
AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,53.32,-0.46,2731
AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,28.38,-0.77,1795
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,-,-,90.58,-0.34,320891
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4210000000.0,4.21B,11.35,38.07,0.61,161643
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,512320000.00000006,512.32M,-,4.34,-7.66,13373196
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,386060000000.0,386.06B,104.00,218.54,-0.66,6656246
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5130000000.0,5.13B,13.18,74.77,0.08,229224
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1390000000.0,1.39B,-,4.65,-2.52,3435396
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,,-,-,29.87,-1.04,3001
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,274860000.0,274.86M,8.50,5.36,-3.42,880202
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,-,-,35.61,-0.59,14247
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,35860000000.0,35.86B,14.10,2.3,0.44,47388684
ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,71.46,-0.7,14624
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4650000000.0,4.65B,8.63,236.31,-2.47,196346
ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,,-,-,25.0,-0.1,1215
ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,,-,-,31.17,-0.53,1062
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,563170000.0,563.17M,-,5.82,-3.96,648360
ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,29.15,-0.26,4805
ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,30.6,-1.37,1144
ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,23.27,-0.72,3
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,45030000.0,45.03M,-,0.91,3.61,3672
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2760000000.0,2.76B,24.48,45.06,-0.44,438090
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,75660000000.0,75.66B,29.37,121.75,-1.08,3629797
ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,9.76,-0.76,10935
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,89650000.0,89.65M,-,1.48,16.54,1276185
ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,40.17,-0.5,102
ABP,Abpro Holdings Inc,Healthcare,Biotechnology,USA,17100000.0,17.10M,-,0.21,-5.91,2162737
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2300000000.0,2.30B,13.53,11.95,-0.25,2239566
ABSI,Absci Corp,Healthcare,Biotechnology,USA,396230000.0,396.23M,-,2.65,6.43,5839170
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,232020000000.0,232.02B,16.67,133.31,-0.43,4959459
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,1180000000.0,1.18B,-,6.69,-4.29,3073696
ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,20030000.0,20.03M,-,8.45,10.75,15445
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,828140000.0,828.14M,-,4.32,-3.79,632980
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,73450000.0,73.45M,-,3.12,-3.41,103156
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,90100000.0,90.10M,-,1.76,-6.38,3234923
ABVX,Abivax ADR,Healthcare,Biotechnology,France,6200000000.0,6.20B,-,82.0,-0.67,636089
ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,,-,-,19.84,-0.29,127
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4490000000.0,4.49B,48.83,91.61,-2.46,194039
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3580000000.0,3.58B,15.94,21.21,-0.24,2777405
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,279430000.0,279.43M,-,4.95,-4.44,745510
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,361430000.0,361.43M,8.31,4.01,-1.23,353899
ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,41550000.0,41.55M,-,10.74,-2.36,12831
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,601470000.0,601.47M,-,3.71,-2.11,1537768
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,944090000.0,944.09M,27.45,11.2,-0.36,264947
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,-,-,31.89,-0.04,15648
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,69840000.0,69.84M,-,0.84,-1.86,379870
ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,71450000.0,71.45M,10.05,28.56,0.18,8009
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33430000000.0,33.43B,9.25,89.57,-1.31,2192021
ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,,-,-,64.47,-0.51,318
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2200000000.0,2.20B,15.66,23.77,-3.33,3391195
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6020000000.0,6.02B,-,9.33,-3.91,44238089
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,151780000.0,151.78M,-,2.97,-3.57,300392
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,9770000000.0,9.77B,10.64,17.45,-1.52,5621244
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,552030000.0,552.03M,6.86,11.32,0.18,132027
ACII,Innovator Index Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,,-,-,25.17,,10592
ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,,-,-,43.12,-0.32,165723
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,287920000.0,287.92M,-,2.91,6.59,448193
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,5340000000.0,5.34B,21.89,51.71,-1.09,566972
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,Financial,Exchange Traded Fund,USA,,-,-,20.15,-0.56,117750
ACLC,American Century Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,,-,-,76.29,-0.39,11681
ACLO,TCW AAA CLO ETF,Financial,Exchange Traded Fund,USA,,-,-,50.46,0.04,112
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,3050000000.0,3.05B,19.86,97.12,-0.04,399239
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,4350000000.0,4.35B,-,78.4,-0.44,342950
ACM,AECOM,Industrials,Engineering & Construction,USA,17000000000.0,17.00B,26.10,128.36,-0.84,996811
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,2440000000.0,2.44B,23.03,37.96,-1.89,10585588
ACN,Accenture plc,Technology,Information Technology Services,Ireland,144850000000.0,144.85B,18.51,232.56,-2.73,10379321
ACNB,ACNB Corp,Financial,Banks - Regional,USA,466120000.0,466.12M,16.51,44.53,0.0,19246
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,118790000.0,118.79M,-,12.68,0.88,40587
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,124760000.0,124.76M,-,7.72,-3.5,20628
ACON,Aclarion Inc,Healthcare,Health Information Services,USA,4670000.0,4.67M,-,8.03,4.29,20910
